Latitude,Longitude
-37.8173603,144.9672712 
-37.8168077,144.9672146 
-37.8163331,144.9668498 
-37.816011,144.9666567 
-37.8154954,144.9661658 
-37.8157328,144.9659277 
-37.8158514,144.9649615 
-37.8158514,144.9653054 
-37.8162074,144.9646397 
-37.816095,144.9641066 
-37.8162473,144.9641205 
-37.8166711,144.964335 
-37.8170101,144.9645282 
-37.8171966,144.9644209 
-37.8169871,144.9656053 
-37.8166312,144.9665494 
-37.8161565,144.9676652 
-37.8159531,144.9685879 
-37.815648,144.9692102 
-37.8150716,144.9690385 
-37.8146648,144.9697895 
-37.8141224,144.9707557 
-37.8139698,144.9710555 
-37.8136308,144.9712706 
-37.8129584,144.9710928 
-37.8124329,144.9706264 
-37.8117209,144.9702616 
-37.8110259,144.970326 
-37.8113141,144.9693175 
-37.811348,144.9690385 
-37.8115175,144.9685664 
-37.8117887,144.9682017 
-37.8117209,144.9676867 
-37.8111862,144.9672999 
-37.8104495,144.9666782 
-37.809907,144.966485 
-37.809212,144.9663563 
-37.8091272,144.9655194 
-37.8086988,144.9668245 
-37.8085377,144.967597 
-37.8083174,144.9681373 
-37.8083682,144.9686737 
-37.8083925,144.9688459 
-37.8085886,144.9692102 
-37.8092498,144.9694462 
-37.8097583,144.969532 
-37.8099109,144.9696608 
-37.8102669,144.9694462 
-37.8103008,144.9691029 
-37.8104195,144.9680729 
-37.8111315,144.9667425 
-37.8110225,144.9657969 
-37.8113218,144.9656477 
-37.8113277,144.9652605 
-37.8114197,144.9647684 
-37.8118303,144.9645963 
-37.8119113,144.9637385 
-37.8120978,144.9629445 
-37.8123012,144.9624725 
-37.8124368,144.9620218 
-37.8126233,144.9612708 
-37.8126063,144.9610563 
-37.8127589,144.9609275 
-37.8128606,144.9605413 
-37.8131149,144.9599619 
-37.8130394,144.9596269 
-37.8131657,144.9592538 
-37.8133353,144.9588247 
-37.8134539,144.958653 
-37.8134539,144.9583311 
-37.8136743,144.9580307 
-37.813586,144.9577904 
-37.8136574,144.9575587 
-37.8141829,144.9574514 
-37.8144371,144.957623 
-37.8143693,144.9577947 
-37.8147253,144.9578591 
-37.8149929,144.9579406 
-37.8153186,144.9578376 
-37.815861,144.9579449 
-37.8159628,144.9581809 
-37.816217,144.9582882 
-37.816573,144.9586101 
-37.8168781,144.9587603 
-37.8168781,144.9587603 
-37.817075,144.9585849 
-37.8174205,144.9588461 
-37.817624,144.9593182 
-37.817963,144.9591036 
-37.8181325,144.9582668 
-37.818285,144.9579449 
-37.8179969,144.9574943 
-37.8181833,144.9572582 
-37.818285,144.9567218 
-37.8173188,144.9563999 
-37.8166069,144.9563999 
-37.8161492,144.9560781 
-37.8157085,144.9557562 
-37.8150736,144.9556787 
-37.8144634,144.9553139 
