Latitude,Longitude
-37.8136681,144.9548633
-37.8132951,144.9558075
-37.8125492,144.9575456
-37.8128534,144.9582867
-37.8123787,144.9589841
-37.81226,144.9604217
-37.8117854,144.9617736
-37.8114802,144.9627392
-37.8110649,144.9636726
-37.8106496,144.9643163
-37.8104461,144.9654428
-37.8107004,144.9655394
-37.8108191,144.9657969
-37.8110225,144.9657969
-37.8110225,144.9657969
-37.8111581,144.9657325
-37.8113277,144.9652605
-37.8113785,144.9645738
-37.811582,144.9646811
-37.8118701,144.9649815
-37.8118193,144.9642949
-37.8121075,144.9631147
-37.8121922,144.9623851
-37.8125143,144.962428
-37.8126838,144.9623208
-37.8129042,144.9628572
-37.8130229,144.9627284
-37.8132087,144.9631917
-37.8135992,144.9626426
-37.8139044,144.9629645
-37.8141926,144.9630289
-37.8144807,144.963222
-37.8147011,144.9633936
-37.8149762,144.9636346
-37.8154169,144.9638277
-37.8156373,144.9638062
-37.816095,144.9641066
-37.8163046,144.9638553
-37.8164001,144.9632054
-37.8168239,144.9626475
-37.8166544,144.9620681
-37.8167692,144.9612497
-37.8170103,144.9615532
-37.8172137,144.9618107
-37.8174171,144.9619823
-37.8176714,144.9620252
-37.8177901,144.9620038
-37.8180952,144.9621969
-37.8176036,144.962626
