WKT,nome,descrição
"POINT (144.960134 -37.8195703)",Ponto 1,
"POINT (144.9598208 -37.8193653)",Ponto 2,
"POINT (144.9596921 -37.8190348)",Ponto 3,
"POINT (144.9594239 -37.818611)",Ponto 4,
"POINT (144.9594775 -37.8181788)",Ponto 5,
"POINT (144.9591235 -37.8177635)",Ponto 6,
"POINT (144.9588461 -37.8174205)",Ponto 7,
"POINT (144.9586836 -37.8169159)",Ponto 8,
"POINT (144.9586729 -37.8165176)",Ponto 9,
"POINT (144.9583939 -37.8162718)",Ponto 10,
"POINT (144.9581793 -37.8158988)",Ponto 11,
"POINT (144.9581686 -37.815509)",Ponto 12,
"POINT (144.9577824 -37.8149326)",Ponto 13,
"POINT (144.9575034 -37.8145427)",Ponto 14,
"POINT (144.9574257 -37.8140776)",Ponto 15,
"POINT (144.957203 -37.8135351)",Ponto 16,
"POINT (144.9570305 -37.8130225)",Ponto 17,
"POINT (144.9568597 -37.8126665)",Ponto 18,
"POINT (144.95657 -37.8122088)",Ponto 19,
"POINT (144.9563769 -37.811768)",Ponto 20,
"POINT (144.9567846 -37.8115561)",Ponto 21,
"POINT (144.9571386 -37.8115985)",Ponto 22,
"POINT (144.9577394 -37.8114883)",Ponto 23,
"POINT (144.9582222 -37.8111747)",Ponto 24,
"POINT (144.9588123 -37.8110391)",Ponto 25,
"POINT (144.9594453 -37.8109458)",Ponto 26,
"POINT (144.9597887 -37.8107933)",Ponto 27,
"POINT (144.9600975 -37.8105975)",Ponto 28,
"POINT (144.9605504 -37.8106399)",Ponto 29,
"POINT (144.9609665 -37.8104619)",Ponto 30,
"POINT (144.9613336 -37.8103602)",Ponto 31,
"POINT (144.9613336 -37.8105127)",Ponto 32,
"POINT (144.9616233 -37.8106738)",Ponto 33,
"POINT (144.9615804 -37.8110044)",Ponto 34,
"POINT (144.9617842 -37.8112417)",Ponto 35,
"POINT (144.9618379 -37.8114451)",Ponto 36,
"POINT (144.9619344 -37.8116485)",Ponto 37,
"POINT (144.9620095 -37.8117418)",Ponto 38,
"POINT (144.9621939 -37.8118949)",Ponto 39,
"POINT (144.9622456 -37.8121232)",Ponto 40,
"POINT (144.9623218 -37.8123389)",Ponto 41,
"POINT (144.962428 -37.8125143)",Ponto 42,
"POINT (144.9624387 -37.8126741)",Ponto 43,
"POINT (144.9623636 -37.8127759)",Ponto 44,
"POINT (144.962664 -37.8128776)",Ponto 45,
"POINT (144.9627176 -37.8131149)",Ponto 46,
"POINT (144.9625889 -37.8132251)",Ponto 47,
"POINT (144.9628249 -37.8134709)",Ponto 48,
"POINT (144.9627391 -37.8136319)",Ponto 49,
"POINT (144.9628678 -37.8138099)",Ponto 50,
"POINT (144.963018 -37.8138523)",Ponto 51,
"POINT (144.9630288 -37.8140642)",Ponto 52,
"POINT (144.963179 -37.8142676)",Ponto 53,
"POINT (144.9633184 -37.8145304)",Ponto 54,
"POINT (144.9633828 -37.8150135)",Ponto 55,
"POINT (144.9636346 -37.8149762)",Ponto 56,
"POINT (144.9636188 -37.8151999)",Ponto 57,
"POINT (144.9638277 -37.8154169)",Ponto 58,
"POINT (144.9638062 -37.8156373)",Ponto 59,
"POINT (144.9639407 -37.8157848)",Ponto 60,
"POINT (144.9639193 -37.816056)",Ponto 61,
"POINT (144.9640394 -37.8164277)",Ponto 62,
"POINT (144.9644342 -37.8161407)",Ponto 63,
"POINT (144.9648097 -37.816039)",Ponto 64,
"POINT (144.9649615 -37.8158514)",Ponto 65,
"POINT (144.9654213 -37.8157932)",Ponto 66,
"POINT (144.9658397 -37.8157339)",Ponto 67,
"POINT (144.9662689 -37.8155644)",Ponto 68,
"POINT (144.9666229 -37.8154796)",Ponto 69,
"POINT (144.9670413 -37.8153356)",Ponto 70,
"POINT (144.9673954 -37.8151999)",Ponto 71,
"POINT (144.9676422 -37.8150898)",Ponto 72,
"POINT (144.9681142 -37.8150474)",Ponto 73,
"POINT (144.9685112 -37.8148863)",Ponto 74,
"POINT (144.9686399 -37.8148016)",Ponto 75,
"POINT (144.9690154 -37.814649)",Ponto 76,
"POINT (144.9687794 -37.8143778)",Ponto 77,
"POINT (144.9686303 -37.8139493)",Ponto 78,
"POINT (144.9682907 -37.8135465)",Ponto 79,
"POINT (144.968125 -37.8130556)",Ponto 80,
"POINT (144.9679855 -37.8126657)",Ponto 81,
"POINT (144.9678733 -37.8123389)",Ponto 82,
"POINT (144.9677935 -37.8122202)",Ponto 83,
"POINT (144.9678138 -37.8119452)",Ponto 84,
"POINT (144.9679533 -37.8116655)",Ponto 85,
"POINT (144.9681464 -37.811657)",Ponto 86,
"POINT (144.9685541 -37.8116062)",Ponto 87,
"POINT (144.9688438 -37.8115129)",Ponto 88,
"POINT (144.9691442 -37.8113943)",Ponto 89,
"POINT (144.9695532 -37.8113031)",Ponto 90,
"POINT (144.9698644 -37.8111675)",Ponto 91,
"POINT (144.9702613 -37.8111251)",Ponto 92,
"POINT (144.9702291 -37.8112099)",Ponto 93,
"POINT (144.9702613 -37.8114218)",Ponto 94,
"POINT (144.9705617 -37.8116083)",Ponto 95,
"POINT (144.9703694 -37.8118847)",Ponto 96,
"POINT (144.9705939 -37.8120575)",Ponto 97,
"POINT (144.9707012 -37.8122101)",Ponto 98,
"POINT (144.9708192 -37.8124982)",Ponto 99,
"POINT (144.9707127 -37.8125967)",Ponto 100,
