WKT,Latitude,Longitude
"POINT (144.952370512958 -37.81349283433532)",-37.81349283433532,144.952370512958
"POINT (144.952370512958 -37.81349283433532)",-37.81349283433532,144.952370512958
"POINT (144.952370512958 -37.81349283433532)",-37.81349283433532,144.952370512958
"POINT (144.952370512958 -37.81349283433532)",-37.81349283433532,144.952370512958
"POINT (144.9539562724643 -37.814445654773905)",-37.814445654773905,144.9539562724643
"POINT (144.95490580100073 -37.8135287057249)",-37.8135287057249,144.95490580100073
"POINT (144.95688549943713 -37.81356326148965)",-37.81356326148965,144.95688549943713
"POINT (144.9560467787941 -37.815076353583)",-37.815076353583,144.9560467787941
"POINT (144.95769057310727 -37.81400886107437)",-37.81400886107437,144.95769057310727
"POINT (144.95769057310727 -37.81400886107437)",-37.81400886107437,144.95769057310727
"POINT (144.95756768351 -37.815413495598676)",-37.815413495598676,144.95756768351
"POINT (144.95718976573872 -37.817050437307515)",-37.817050437307515,144.95718976573872
"POINT (144.95833759760944 -37.81766075033914)",-37.81766075033914,144.95833759760944
"POINT (144.95833759760944 -37.81766075033914)",-37.81766075033914,144.95833759760944
"POINT (144.95675629929954 -37.81885234408498)",-37.81885234408498,144.95675629929954
"POINT (144.95675629929954 -37.81885234408498)",-37.81885234408498,144.95675629929954
"POINT (144.95675629929954 -37.81885234408498)",-37.81885234408498,144.95675629929954
"POINT (144.95675629929954 -37.81885234408498)",-37.81885234408498,144.95675629929954
"POINT (144.95588102975276 -37.81975871223341)",-37.81975871223341,144.95588102975276
"POINT (144.95588102975276 -37.81975871223341)",-37.81975871223341,144.95588102975276
"POINT (144.95588102975276 -37.81975871223341)",-37.81975871223341,144.95588102975276
"POINT (144.95588102975276 -37.81975871223341)",-37.81975871223341,144.95588102975276
"POINT (144.95588102975276 -37.81975871223341)",-37.81975871223341,144.95588102975276
"POINT (144.95588102975276 -37.81975871223341)",-37.81975871223341,144.95588102975276
"POINT (144.95689525187035 -37.81948695223605)",-37.81948695223605,144.95689525187035
"POINT (144.95689525187035 -37.81948695223605)",-37.81948695223605,144.95689525187035
"POINT (144.95689525187035 -37.81948695223605)",-37.81948695223605,144.95689525187035
"POINT (144.95586312029454 -37.82020965854585)",-37.82020965854585,144.95586312029454
"POINT (144.95655651949485 -37.81918165195588)",-37.81918165195588,144.95655651949485
"POINT (144.95597348586963 -37.82037704803746)",-37.82037704803746,144.95597348586963
"POINT (144.95597348586963 -37.82037704803746)",-37.82037704803746,144.95597348586963
"POINT (144.95597348586963 -37.82037704803746)",-37.82037704803746,144.95597348586963
"POINT (144.95647041843623 -37.81852247045098)",-37.81852247045098,144.95647041843623
"POINT (144.95647041843623 -37.81852247045098)",-37.81852247045098,144.95647041843623
"POINT (144.95786803057882 -37.81746929416046)",-37.81746929416046,144.95786803057882
